count,x,y,reindexed_id,sensor_id,sin_hour,cos_hour
70,382.481,377.916,1,1,-1.1367198218633791e-13,1.0
71,383.958,378.224,1,1,-1.1367198218633791e-13,1.0
72,381.21,378.095,1,1,-1.1367198218633791e-13,1.0
73,380.644,378.336,1,1,-1.1367198218633791e-13,1.0
74,381.591,379.56,1,1,-1.1367198218633791e-13,1.0
75,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
76,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
77,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
78,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
79,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
80,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
81,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
82,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
83,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
84,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
85,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
86,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
87,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
88,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
89,370.661,399.724,1,1,-1.1367198218633791e-13,1.0
90,379.831,406.688,1,1,-1.1367198218633791e-13,1.0
91,375.715,398.644,1,1,-1.1367198218633791e-13,1.0
92,378.985,404.217,1,1,-1.1367198218633791e-13,1.0
93,406.843,509.738,1,1,-1.1367198218633791e-13,1.0
94,403.383,498.84,1,1,-1.1367198218633791e-13,1.0
95,412.582,496.842,1,1,-1.1367198218633791e-13,1.0
96,416.267,493.888,1,1,-1.1367198218633791e-13,1.0
97,422.057,492.298,1,1,-1.1367198218633791e-13,1.0
98,391.383,464.8,1,1,-1.1367198218633791e-13,1.0
99,406.77,471.163,1,1,-1.1367198218633791e-13,1.0
100,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
101,427.202,472.678,1,1,-1.1367198218633791e-13,1.0
102,433.153,465.585,1,1,-1.1367198218633791e-13,1.0
103,352.642,410.422,1,1,-1.1367198218633791e-13,1.0
104,436.527,457.3,1,1,-1.1367198218633791e-13,1.0
105,435.457,448.842,1,1,-1.1367198218633791e-13,1.0
106,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
107,358.566,402.611,1,1,-1.1367198218633791e-13,1.0
108,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
109,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
110,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
111,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
112,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
113,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
114,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
115,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
